,city_id,city_name,cloud_cover,humidity,latitude,longitude,wind_speed
0,3833367,Ushuaia,40,65,-54.81,44.6,10.29
1,286987,Nizwa,36,15,22.93,99.79,3.27
2,3397851,Itupiranga,20,41,-5.13,95.0,9.17
3,3461888,Guarapari,40,69,-20.67,77.0,8.05
4,3418910,Upernavik,76,91,72.79,32.56,9.19
5,964432,Port Alfred,0,80,-33.59,67.93,3.94
6,3831208,Qaanaaq,68,100,77.48,31.12,2.71
7,1495626,Pangody,92,96,65.85,33.37,17.02
8,1507390,Dikson,0,81,73.51,26.53,6.62
9,3466165,Cidreira,0,75,-30.17,77.47,6.17
10,3452483,Prado,92,100,-17.34,73.42,6.62
11,2618795,Klaksvik,8,66,62.23,53.6,4.7
12,1014034,Carnarvon,0,32,-30.97,52.54,8.86
13,3386177,Trairi,0,100,-3.28,81.97,17.47
14,1733782,Victoria,75,94,5.28,77.0,10.29
15,3378644,Georgetown,75,88,6.8,80.6,9.17
16,1006984,East London,0,77,-33.02,64.4,4.7
17,583573,Russkiy Aktash,40,45,55.04,44.6,17.9
18,3421719,Narsaq,75,70,60.91,42.8,4.7
19,4501427,Port Elizabeth,90,100,39.31,70.14,8.05
20,656083,Jamsa,0,41,61.86,63.41,5.82
21,1486321,Yar-Sale,92,97,66.83,32.56,20.83
22,3366880,Hermanus,12,67,-34.42,58.75,16.8
23,3835994,Santa Rosa,88,62,-36.62,47.68,9.42
24,3867427,Mayor Pablo Lagerenza,92,100,-19.93,70.0,7.74
25,5106834,Albany,75,60,42.65,72.32,12.75
26,2075265,Busselton,80,100,-33.64,56.5,8.75
27,1015776,Bredasdorp,0,37,-34.53,69.8,16.11
28,2252081,Segou,0,44,12.41,97.45,8.86
29,6324729,Halifax,75,31,44.65,72.46,8.05
30,1489822,Teguldet,32,49,57.31,55.42,7.07
31,1106677,Bambous Virieux,40,73,-20.34,73.4,6.93
32,6096551,Pangnirtung,90,86,66.15,30.2,3.36
33,3421765,Nanortalik,64,95,60.14,35.08,8.75
34,704138,Kreminna,0,31,49.05,79.27,14.0
35,3395458,Maragogi,80,92,-9.01,78.46,12.1
36,2729907,Longyearbyen,75,96,78.22,39.2,18.34
37,1214488,Meulaboh,32,100,4.14,82.69,4.05
38,1493162,Salym,92,98,60.06,51.82,14.45
39,1280037,Shache,32,54,38.42,67.93,1.14
40,2267254,Lagoa,20,64,37.14,69.8,14.99
41,2381334,Atar,0,16,20.52,105.82,5.17
42,4319518,Chalmette,75,74,29.94,85.41,11.41
43,5983720,Iqaluit,75,100,63.75,32.0,8.05
44,934322,Mahebourg,40,73,-20.41,73.4,6.93
